artist_name,profile_url,genre_fit,why_relevant,last_track_checked,safe_public_comment_draft,status
STEK de band,https://soundcloud.com/stekliedjes,Nederlandstalig pop,"Found via SoundCloud search for Nederlandstalig pop; small profile fit for Dutch-language lane.",,"Sterke Nederlandstalige sfeer. Mooi hoe direct dit binnenkomt.",candidate_needs_vetting
Artificieel Origineel | Nederlandstalige AI Muziek,https://soundcloud.com/artificieel-origineel,Nederlandstalige muziek,"Found via SoundCloud search for Nederlandstalige muziek; relevant language/category overlap.",,"Interessante Nederlandstalige invalshoek. Knap hoe de sfeer is neergezet.",candidate_needs_vetting
Fiwi Reggae Netherlands,https://soundcloud.com/fiwi-reggae-netherlands,Reggae Netherlands,"Found via SoundCloud search for reggae Netherlands; genre overlap with Dutch Songs.",,"Fijne reggae-vibe. De groove blijft goed hangen.",candidate_needs_vetting
Reggie,https://soundcloud.com/regilio-pinas,Reggae Netherlands,"Found via SoundCloud search for reggae Netherlands; Netherlands location signal.",,"Sterke feel in deze track. Mooi hoe de reggae-invloed werkt.",candidate_needs_vetting
REGGAE SUNDAYS BELIZE,https://soundcloud.com/jermyn-swift,Reggae,"Found via SoundCloud search for Dutch pop reggae; reggae audience overlap.",,"Fijne relaxte reggae-vibe. Goede energie in de track.",candidate_needs_vetting
PopRWC,https://soundcloud.com/pop-reggaeworld,Pop/reggae,"Found via SoundCloud search for Dutch pop reggae; pop/reggae keyword overlap.",,"Mooie combinatie van pop en reggae. Klinkt toegankelijk.",candidate_needs_vetting
R&B,REGGAE,K-POP-MUSIC'S,https://soundcloud.com/melissa-gimeda,Reggae/pop,"Found via SoundCloud search for Dutch pop reggae; broad genre overlap.",,"Leuke mix van stijlen. Vooral de reggae-kant valt op.",candidate_needs_vetting
New Instrumental Music,https://soundcloud.com/new-instrumental-music,Instrumental/pop,"Found via SoundCloud search for Dutch pop reggae; possible instrumental collaboration fit.",,"Sterke instrumentale sfeer. Dit voelt bruikbaar voor vocale ideeen.",candidate_needs_vetting
Pop Punk Goes Reggae,https://soundcloud.com/poppunkgoesreggae,Reggae crossover,"Found via SoundCloud search for Dutch pop reggae; crossover audience fit.",,"Leuke crossover. De reggae-aanpak geeft het meteen karakter.",candidate_needs_vetting
Dutch pop,https://soundcloud.com/user-62050712,Dutch pop,"Found via SoundCloud search for Dutch pop reggae; direct Dutch pop keyword match.",,"Sterke poprichting. Benieuwd hoe je deze sound verder uitbouwt.",candidate_needs_vetting
Casper,https://soundcloud.com/caspermusik,Pop/reggae,"Found via SoundCloud search for Dutch pop reggae; potential adjacent artist.",,"Fijne sfeer in deze track. De melodie blijft hangen.",candidate_needs_vetting
pop reggae,https://soundcloud.com/user-660890238-331226220,Pop/reggae,"Found via SoundCloud search for Dutch pop reggae; direct genre keyword match.",,"Pop en reggae komen hier natuurlijk samen. Klinkt goed.",candidate_needs_vetting
Maydan,https://soundcloud.com/maydanmusic,EDM producer,"Found via SoundCloud search for Dutch EDM producer; electronic audience overlap.",,"Sterke productie. De energie zit meteen goed.",candidate_needs_vetting
Musicombat,https://soundcloud.com/musicombat,EDM producer,"Found via SoundCloud search for Dutch EDM producer; electronic audience overlap.",,"Klinkt strak geproduceerd. Mooie drive in de track.",candidate_needs_vetting
Ghost Producer EDM,https://soundcloud.com/ghost-producer-edm,EDM producer,"Found via SoundCloud search for Dutch EDM producer; electronic production overlap.",,"Sterke EDM-sound. De opbouw werkt goed.",candidate_needs_vetting
BOXING DUTCH INDO MEDAN,https://soundcloud.com/producer-music-dutch,Dutch producer,"Found via SoundCloud search for Dutch EDM producer; Dutch/producer keyword overlap.",,"Interessante sound. De productie heeft duidelijke energie.",candidate_needs_vetting
5DS1,https://soundcloud.com/raul-543285580,EDM producer,"Found via SoundCloud search for Dutch EDM producer; electronic candidate.",,"Goede elektronische vibe. De track beweegt lekker door.",candidate_needs_vetting
Jerzy Bulx,https://soundcloud.com/jerzybulx,EDM producer,"Found via SoundCloud search for Dutch EDM producer; electronic candidate.",,"Sterke clubenergie. Mooi hoe de track vooruit blijft gaan.",candidate_needs_vetting
Jerry C [EDM & PoP Remixer/Producer],https://soundcloud.com/jerrycher031,EDM/pop producer,"Found via SoundCloud search for Dutch EDM producer; EDM/pop overlap.",,"Goede EDM/pop-combinatie. Klinkt direct en toegankelijk.",candidate_needs_vetting
Gairbhi,https://soundcloud.com/gairbhi,EDM producer,"Found via SoundCloud search for Dutch EDM producer; electronic candidate.",,"Fijne elektronische sfeer. De details in de productie vallen op.",candidate_needs_vetting
Guvnos,https://soundcloud.com/djguvnos,EDM/DJ,"Found via SoundCloud search for Dutch EDM producer; DJ/electronic overlap.",,"Sterke DJ-energy. Dit past goed in een late-night set.",candidate_needs_vetting
EDM DJ & Producer ToolKits,https://soundcloud.com/edmdj-producertoolkits,EDM production,"Found via SoundCloud search for Dutch EDM producer; production ecosystem fit.",,"Handige producer-focus. Interessant voor EDM-makers.",candidate_needs_vetting
